Author,BSB Catalog,By,Creation,Digital Object Identifier,Extent,Height,Identifier,Label,Language,Location,Object Type,Preferred title of work,Thumbnail,Title,Width
"<span>Christianus, Stabulensis -- (GND: <a href='http://d-nb.info/gnd/100939023/'>100939023</a>)</span>",<a href='https://opacplus.bsb-muenchen.de/title/BV037449853'>https://opacplus.bsb-muenchen.de/title/BV037449853</a>,Christianus Stabulensis,"[S.l.], 14./15. Jh.",<a href='https://nbn-resolving.org/urn:nbn:de:bvb:12-bsb00062815-7'>urn:nbn:de:bvb:12-bsb00062815-7</a>,I + 174 Bl. - Pergament,33.9524086241369,BSB-Hss Clm 4527,"Christianus, Stabulensis: Expositio in evangelium Matthaei - BSB Clm 4527",Latin,"München, Bayerische Staatsbibliothek -- Clm 4527#Mikroform",Buch,,"https://api.digitale-sammlungen.de/iiif/image/v2/bsb00062815_00003/full/280,/0/default.jpg",Expositio in evangelium Matthaei - BSB Clm 4527,23.232533333333325
"<span>Gratianus, de Clusio -- (GND: <a href='http://d-nb.info/gnd/118541625/'>118541625</a>)</span>",<a href='https://opacplus.bsb-muenchen.de/title/BV037457693'>https://opacplus.bsb-muenchen.de/title/BV037457693</a>,,"[S.l.], 14./15. Jh.",<a href='https://nbn-resolving.org/urn:nbn:de:bvb:12-bsb00090822-0'>urn:nbn:de:bvb:12-bsb00090822-0</a>,342 Bl. - Pergament,50.471657670243204,BSB-Hss Clm 23552,"Gratianus, de Clusio: Gratiani decretum cum glosa - BSB Clm 23552",Latin,"München, Bayerische Staatsbibliothek -- Clm 23552",Buch,,"https://api.digitale-sammlungen.de/iiif/image/v2/bsb00090822_00003/full/280,/0/default.jpg",Gratiani decretum cum glosa - BSB Clm 23552,31.178499999999993
"<span>Konrad, von Brundelsheim, Heilsbronn, Abt -- (GND: <a href='http://d-nb.info/gnd/100939333/'>100939333</a>)</span>",<a href='https://opacplus.bsb-muenchen.de/title/BV035430460'>https://opacplus.bsb-muenchen.de/title/BV035430460</a>,,"[S.l.], 1400",<a href='https://nbn-resolving.org/urn:nbn:de:bvb:12-bsb00038513-6'>urn:nbn:de:bvb:12-bsb00038513-6</a>,283 Bl. - Papier,31.11098001384307,BSB-Hss Clm 8847,"Konrad, von Brundelsheim, Heilsbronn, Abt: Conradi Socci sermonum de tempore pars aestivalis - BSB Clm 8847",Latin,"München, Bayerische Staatsbibliothek -- Clm 8847",Buch,,"https://api.digitale-sammlungen.de/iiif/image/v2/bsb00038513_00003/full/280,/0/default.jpg",Conradi Socci sermonum de tempore pars aestivalis - BSB Clm 8847,21.4884
,<a href='https://opacplus.bsb-muenchen.de/title/BV022475896'>https://opacplus.bsb-muenchen.de/title/BV022475896</a>,,"[S.l.], 15. Jh.",<a href='https://nbn-resolving.org/urn:nbn:de:bvb:12-bsb00012003-6'>urn:nbn:de:bvb:12-bsb00012003-6</a>,291 Bl. - Papier,32.98803399401337,BSB-Hss Clm 15141,Haymo episcopus Halberstatensis super Apocalypsim [u.a.] - BSB Clm 15141,Latin,"München, Bayerische Staatsbibliothek -- Clm 15141",Buch,,"https://api.digitale-sammlungen.de/iiif/image/v2/bsb00012003_00003/full/280,/0/default.jpg",Haymo episcopus Halberstatensis super Apocalypsim [u.a.] - BSB Clm 15141,21.399499999999996
"<span>Johannes, de Lignano -- (GND: <a href='http://d-nb.info/gnd/119172003/'>119172003</a>)</span>",<a href='https://opacplus.bsb-muenchen.de/title/BV036072382'>https://opacplus.bsb-muenchen.de/title/BV036072382</a>,Johannes de Lignano,"[S.l.] Böhmen (?), um 1400",<a href='https://nbn-resolving.org/urn:nbn:de:bvb:12-bsb00046822-6'>urn:nbn:de:bvb:12-bsb00046822-6</a>,I + 328 Bl. - Papier,32.674505247054775,BSB-Hss Clm 14257,"Johannes, de Lignano: Commentarius in Decretales Gregorii IX. papae (Lib. III) - BSB Clm 14257",Latin,"München, Bayerische Staatsbibliothek -- Clm 14257",Buch,,"https://api.digitale-sammlungen.de/iiif/image/v2/bsb00046822_00003/full/280,/0/default.jpg",Commentarius in Decretales Gregorii IX. papae (Lib. III) - BSB Clm 14257,22.783800000000003
,<a href='https://opacplus.bsb-muenchen.de/title/BV036428095'>https://opacplus.bsb-muenchen.de/title/BV036428095</a>,,"[S.l.] Südwestdeutschland, Ende 14./Anfang 15. Jh.",<a href='https://nbn-resolving.org/urn:nbn:de:bvb:12-bsb00048180-1'>urn:nbn:de:bvb:12-bsb00048180-1</a>,45 Bl. - Pergament,22.208496889029483,BSB-Hss Clm 10085,Teilrituale (lat./deutsch) - BSB Clm 10085,Latin,"München, Bayerische Staatsbibliothek -- Clm 10085#Mikroform",Buch,,"https://api.digitale-sammlungen.de/iiif/image/v2/bsb00048180_00003/full/280,/0/default.jpg",Teilrituale (lat./deutsch) - BSB Clm 10085,16.383000000000003
,<a href='https://opacplus.bsb-muenchen.de/title/BV021738019'>https://opacplus.bsb-muenchen.de/title/BV021738019</a>,,"Nürnberg ?, Letztes Viertel 15. Jh.",<a href='https://nbn-resolving.org/urn:nbn:de:bvb:12-bsb00005445-8'>urn:nbn:de:bvb:12-bsb00005445-8</a>,1 Bl. - Papier,43.41433448018748,BSB-Hss Cod.icon. 172,Stadtplan von Jerusalem - BSB Cod.icon. 172,Latin,"München, Bayerische Staatsbibliothek -- Cod.icon. 172",Buch,,"https://api.digitale-sammlungen.de/iiif/image/v2/bsb00005445_00003/full/280,/0/default.jpg",Stadtplan von Jerusalem - BSB Cod.icon. 172,60.0964
,<a href='https://opacplus.bsb-muenchen.de/title/BV040196639'>https://opacplus.bsb-muenchen.de/title/BV040196639</a>,,"[S.l.], 14./15. Jh.",<a href='https://nbn-resolving.org/urn:nbn:de:bvb:12-bsb00090167-2'>urn:nbn:de:bvb:12-bsb00090167-2</a>,54 Bl. - Pergament,29.94013290465374,BSB-Hss Cgm 27,Weilheimer Stadtbuch mit dem Stadtrecht von München mit Anhangsartikeln in der ursprünglichen Ordnung - BSB Cgm 27,"German, Middle High (ca.1050-1500)","München, Bayerische Staatsbibliothek -- Cgm 27",Buch,,"https://api.digitale-sammlungen.de/iiif/image/v2/bsb00090167_00003/full/280,/0/default.jpg",Weilheimer Stadtbuch mit dem Stadtrecht von München mit Anhangsartikeln in der ursprünglichen Ordnung - BSB Cgm 27,21.056599999999992
,<a href='https://opacplus.bsb-muenchen.de/title/BV040196658'>https://opacplus.bsb-muenchen.de/title/BV040196658</a>,,"[S.l.], 14./15. Jh.",<a href='https://nbn-resolving.org/urn:nbn:de:bvb:12-bsb00088335-2'>urn:nbn:de:bvb:12-bsb00088335-2</a>,141 Bl. - Pergament,20.67060150016191,BSB-Hss Cgm 69,"Psalterium Davids, deutsch; nach Walther der 11. deutschen Psaltergruppe zugehörig - BSB Cgm 69","German, Middle High (ca.1050-1500)","München, Bayerische Staatsbibliothek -- Cgm 69",Buch,,"https://api.digitale-sammlungen.de/iiif/image/v2/bsb00088335_00003/full/280,/0/default.jpg","Psalterium Davids, deutsch; nach Walther der 11. deutschen Psaltergruppe zugehörig - BSB Cgm 69",14.147800000000002
,<a href='https://opacplus.bsb-muenchen.de/title/BV035949505'>https://opacplus.bsb-muenchen.de/title/BV035949505</a>,,"[S.l.], 14./15. Jh.",<a href='https://nbn-resolving.org/urn:nbn:de:bvb:12-bsb00045278-9'>urn:nbn:de:bvb:12-bsb00045278-9</a>,275 Bl. - Pergament,40.79343110604655,BSB-Hss Clm 13022,Missale secundum rubricam et breviarium Ratisbonense - BSB Clm 13022,Latin,"München, Bayerische Staatsbibliothek -- Clm 13022",Buch,,"https://api.digitale-sammlungen.de/iiif/image/v2/bsb00045278_00005/full/280,/0/default.jpg",Missale secundum rubricam et breviarium Ratisbonense - BSB Clm 13022,30.568899999999996
